,Frequency,CustGender,CustAccountBalance,Monetary,CustomerAge,Recency,Cluster
331,1,1,3796.8,170.0,25.0,306,0
332,1,1,15489.25,101.0,33.0,306,1
333,1,1,13758.42,156.0,21.0,306,0
334,1,1,4794.5,100.0,21.0,306,0
335,1,1,18274.07,470.0,25.0,306,0
336,1,0,7289.82,250.0,27.0,306,3
337,1,0,9699.26,298.0,27.0,306,3
338,1,1,13.85,50.0,22.0,306,0
339,1,1,40974.26,1263.85,33.0,306,4
340,1,1,32021.55,100.0,26.0,306,0
341,1,1,1128.6,200.0,25.0,306,0
342,1,0,21478.14,50.0,21.0,306,3
343,1,1,116.17,197.65,22.0,306,0
344,1,1,106192.98,300.0,26.0,306,2
345,1,0,5456.52,1500.0,25.0,306,4
346,1,1,17687.76,200.0,32.0,306,1
347,1,0,40763.64,300.0,26.0,306,3
348,1,1,5813.3,120.0,27.0,306,0
349,1,0,16085.96,325.0,29.0,306,3
350,1,1,212.45,145.0,24.0,306,0
351,1,0,51.96,585.0,21.0,306,3
352,1,0,21117.68,100.0,23.0,306,3
353,1,1,13184.26,2000.0,23.0,306,4
354,1,1,45.04,114.0,28.0,306,0
355,1,1,14223.73,200.0,22.0,306,0
356,1,1,10575.04,1078.0,22.0,306,0
357,1,1,2077.7,200.0,26.0,306,0
358,1,1,1683.16,300.0,26.0,306,0
359,1,1,17906.98,958.0,38.0,306,1
360,1,1,21601.29,303.0,40.0,306,1
361,1,1,56186.52,375.0,30.0,306,2
362,1,1,400.69,550.0,35.0,306,1
363,1,1,2637.17,500.0,25.0,306,0
364,1,1,159.23,14.0,22.0,306,0
365,1,1,10190.73,1.37,35.0,306,1
366,1,1,0.11,1300.0,28.0,306,4
367,1,1,31254.39,30.0,23.0,306,0
368,1,1,9769.51,147.0,28.0,306,0
369,1,0,50700.85,30.0,26.0,306,3
370,1,0,3370.12,233.0,28.0,306,3
371,1,1,45218.05,1124.0,23.0,306,4
372,1,1,11099.72,198.0,28.0,306,0
373,1,1,1146.6,435.0,29.0,306,0
374,1,1,15624.43,650.0,27.0,306,0
375,1,0,102842.16,117.0,31.0,306,2
376,1,0,3056.28,1156.0,30.0,306,3
377,1,1,7210.7,734.0,21.0,306,0
378,1,0,12506.61,600.0,31.0,306,3
379,1,1,28597.77,1351.0,25.0,306,4
380,1,0,45869.67,1000.0,25.0,306,3
381,1,1,71085.65,2185.0,38.0,306,4
382,1,1,20.02,20.0,35.0,306,1
383,1,0,111752.66,300.0,28.0,306,2
384,1,1,11951.3,115.0,22.0,306,0
385,1,0,38941.25,1624.0,19.0,306,4
386,1,1,2081.77,30.0,27.0,306,0
387,1,0,18499.3,1386.0,28.0,306,4
388,1,1,35628.39,2210.0,27.0,306,4
389,1,1,2478.84,120.0,26.0,306,0
390,1,0,40801.81,200.0,24.0,306,3
391,1,1,39487.31,20.0,22.0,306,0
392,1,0,1458.74,440.0,23.0,306,3
393,1,1,4726.86,10.0,25.0,306,0
394,1,0,42507.91,220.0,38.0,306,3
395,1,1,6727.46,300.0,24.0,306,0
396,1,1,24281.01,1974.0,29.0,306,4
397,1,1,10809.52,1450.0,37.0,306,4
398,1,1,11650.06,1150.0,29.0,306,4
399,1,1,419.82,149.0,19.0,306,0
400,1,1,15629.06,300.0,40.0,306,1
401,1,1,30700.8,500.0,35.0,306,1
402,1,1,5631.65,67.0,26.0,306,0
403,1,1,38660.49,36.0,19.0,306,0
404,1,1,15937.74,49.0,31.0,306,1
405,1,0,80078.04,1000.0,36.0,306,2
406,1,1,2625.86,12.0,29.0,306,0
407,1,1,11.58,149.0,20.0,306,0
408,1,1,31149.74,678.0,35.0,306,1
409,1,1,4.29,85.0,28.0,306,0
410,1,0,58638.86,850.0,24.0,306,3
411,1,1,32307.95,1200.0,41.0,306,1
412,1,0,206.02,195.0,25.0,306,3
413,1,1,22656.84,1268.0,42.0,306,1
414,1,1,24408.31,650.0,38.0,306,1
415,1,0,18749.98,200.0,30.0,306,3
416,1,0,3812.92,70.0,24.0,306,3
417,1,1,29.54,2000.0,24.0,306,4
418,1,1,52679.53,305.0,25.0,306,0
419,1,1,22507.69,1350.0,29.0,306,4
420,1,0,5528.72,1336.0,36.0,306,4
421,1,1,41.54,504.31,28.0,306,0
422,1,0,52457.01,25.0,29.0,306,3
423,1,0,8808.91,110.0,28.0,306,3
424,1,0,12527.19,204.0,23.0,306,3
425,1,0,22617.57,1193.0,30.0,306,3
426,1,0,13398.83,10.0,23.0,306,3
427,1,1,57978.28,50.0,31.0,306,2
428,1,1,171.9,2110.0,35.0,306,4
429,1,0,1326.48,447.0,27.0,306,3
430,1,0,18441.56,1043.81,33.0,306,3
431,1,0,1701.96,200.0,20.0,306,3
432,1,0,20935.3,130.0,23.0,306,3
433,1,1,387.7,249.0,34.0,306,1
434,1,1,759.56,250.0,36.0,306,1
435,1,1,3955.47,20.0,26.0,306,0
436,1,1,18220.22,1331.0,37.0,306,4
437,1,1,12326.22,1000.0,36.0,306,1
438,1,0,9343.97,372.0,32.0,306,3
439,1,0,2567.63,1653.41,30.0,306,4
440,1,0,19285.52,100.0,22.0,306,3
441,1,0,38944.6,200.0,25.0,306,3
442,1,1,11222.42,599.0,36.0,306,1
443,1,1,36559.69,1080.0,28.0,306,4
444,1,1,128.93,17.0,21.0,306,0
445,1,0,15307.64,246.99,30.0,306,3
446,1,1,25782.45,458.0,27.0,306,0
447,1,0,41760.62,301.0,25.0,306,3
448,1,1,16572.07,500.0,25.0,306,0
449,1,1,8104.94,100.0,28.0,306,0
450,1,1,7964.78,265.0,34.0,306,1
451,1,0,92.64,486.0,24.0,306,3
452,1,0,5478.44,20.0,23.0,306,3
453,1,1,11334.87,23.0,29.0,306,0
454,1,1,692.25,159.0,27.0,306,0
455,1,1,27704.66,99.0,25.0,306,0
456,1,1,37.52,600.0,23.0,306,0
457,1,1,71.96,30.0,36.0,306,1
458,1,1,55436.06,652.0,23.0,306,0
459,1,1,18.07,150.0,20.0,306,0
460,1,1,24550.95,431.04,25.0,306,0
461,1,1,38.85,1000.0,31.0,306,1
462,1,1,43325.77,577.0,30.0,306,1
463,1,1,3563.1,100.0,25.0,306,0
464,1,1,2474.37,450.0,34.0,306,1
465,1,1,73592.43,180.0,38.0,306,2
466,1,1,1354.78,127.0,27.0,306,0
467,1,1,13041.67,47.0,24.0,306,0
468,1,1,864.48,75.0,27.0,306,0
469,1,1,21998.45,765.49,30.0,306,1
470,1,1,142.25,1670.0,25.0,306,4
471,1,1,11165.64,40.0,23.0,306,0
472,1,1,4987.82,625.0,24.0,306,0
473,1,0,9008.71,300.0,23.0,306,3
474,1,1,38351.45,202.0,34.0,306,1
475,1,1,19237.64,153.0,36.0,306,1
476,1,1,8.42,20.0,25.0,306,0
477,1,1,70943.7,300.0,28.0,306,2
478,1,0,39.58,99.0,20.0,306,3
479,1,1,61772.34,250.0,31.0,306,2
480,1,1,2365.65,100.0,26.0,306,0
481,1,0,136024.09,259.0,31.0,306,2
482,1,1,21.44,500.0,26.0,306,0
483,1,1,35.41,50.0,24.0,306,0
484,1,0,10378.58,50.0,26.0,306,3
485,1,1,45291.32,518.0,30.0,306,1
486,1,1,10071.32,254.0,35.0,306,1
487,1,0,912.39,300.0,29.0,306,3
488,1,1,10152.0,249.0,25.0,306,0
489,1,0,63191.65,270.0,24.0,306,3
490,1,1,3393.78,402.0,30.0,306,1
491,1,1,835.7,871.0,24.0,306,0
492,1,1,73029.31,188.0,37.0,306,2
493,1,1,12745.41,641.0,35.0,306,1
494,1,1,7697.91,720.0,30.0,306,1
495,1,1,37.94,58.0,29.0,306,0
496,1,1,2.2,950.0,29.0,306,0
497,1,1,5819.67,200.0,26.0,306,0
498,1,1,2925.78,55.0,26.0,306,0
499,1,0,58125.63,100.0,23.0,306,3
500,1,1,32588.29,850.0,33.0,306,1
501,1,1,1240.09,299.5,25.0,306,0
502,1,1,6304.7,370.0,26.0,306,0
503,1,0,121.55,319.0,25.0,306,3
504,1,1,1386.84,940.0,39.0,306,1
505,1,1,7732.8,404.0,26.0,306,0
506,1,1,48030.08,1.0,36.0,306,1
507,1,0,43413.83,1352.0,30.0,306,4
508,1,0,55614.63,195.0,33.0,306,3
509,1,0,8185.16,40.0,20.0,306,3
510,1,1,41.2,250.0,24.0,306,0
511,1,1,1392.38,552.53,28.0,306,0
512,1,1,9107.29,110.0,33.0,306,1
513,1,1,29789.02,300.0,30.0,306,1
514,1,1,0.0,1000.0,36.0,306,1
515,1,1,24763.87,173.0,33.0,306,1
516,1,0,78621.05,225.0,31.0,306,2
517,1,1,54099.6,2259.0,28.0,306,4
518,1,1,1460.31,614.72,24.0,306,0
